"id","code","name"
Cat_019_33120,33120,"Reparación y mantenimiento de maquinaria"
Cat_019_33130,33130,"Reparación y mantenimiento de equipo electrónico y óptico"
Cat_019_33140,33140,"Reparación y mantenimiento de equipo eléctrico"
Cat_019_33150,33150,"Reparación y mantenimiento de equipo de transporte, excepto vehículos automotores"
Cat_019_33190,33190,"Reparación y mantenimiento de equipos n.c.p."
Cat_019_33200,33200,"Instalación de maquinaria y equipo industrial"
Cat_019_35101,35101,"Generación de energía eléctrica"
Cat_019_35102,35102,"Transmisión de energía eléctrica"
Cat_019_35103,35103,"Distribución de energía eléctrica"
Cat_019_35200,35200,"Fabricación de gas, distribución de combustibles gaseosos por tuberías"
Cat_019_35300,35300,"Suministro de vapor y agua caliente"
Cat_019_36000,36000,"Captación, tratamiento y suministro de agua"
Cat_019_37000,37000,"Evacuación de aguas residuales (alcantarillado)"
Cat_019_38110,38110,"Recolección y transporte de desechos sólidos proveniente de hogares y sector urbano"
Cat_019_38120,38120,"Recolección de desechos peligrosos"
Cat_019_38210,38210,"Tratamiento y eliminación de desechos inicuos"
Cat_019_38220,38220,"Tratamiento y eliminación de desechos peligrosos"
Cat_019_38301,38301,"Reciclaje de desperdicios y desechos textiles"
Cat_019_38302,38302,"Reciclaje de desperdicios y desechos de plástico y caucho"
Cat_019_38303,38303,"Reciclaje de desperdicios y desechos de vidrio"
Cat_019_38304,38304,"Reciclaje de desperdicios y desechos de papel y cartón"
Cat_019_38305,38305,"Reciclaje de desperdicios y desechos metálicos"
Cat_019_38309,38309,"Reciclaje de desperdicios y desechos no metálicos n.c.p."
Cat_019_39000,39000,"Actividades de Saneamiento y otros Servicios de Gestión de Desechos"
Cat_019_41001,41001,"Construcción de edificios residenciales"
Cat_019_41002,41002,"Construcción de edificios no residenciales"
Cat_019_42100,42100,"Construcción de carreteras, calles y caminos"
Cat_019_42200,42200,"Construcción de proyectos de servicio público"
Cat_019_42900,42900,"Construcción de obras de ingeniería civil n.c.p."
Cat_019_43110,43110,"Demolición"
Cat_019_43120,43120,"Preparación de terreno"
Cat_019_43210,43210,"Instalaciones eléctricas"
Cat_019_43220,43220,"Instalación de fontanería, calefacción y aire acondicionado"
Cat_019_43290,43290,"Otras instalaciones para obras de construcción"
Cat_019_43300,43300,"Terminación y acabado de edificios"
Cat_019_43900,43900,"Otras actividades especializadas de construcción"
Cat_019_43901,43901,"Fabricación de techos y materiales diversos"
Cat_019_45100,45100,"Venta de vehículos automotores"
Cat_019_45201,45201,"Reparación mecánica de vehículos automotores"
Cat_019_45202,45202,"Reparaciones eléctricas del automotor y recarga de baterías"
Cat_019_45203,45203,"Enderezado y pintura de vehículos automotores"
Cat_019_45204,45204,"Reparaciones de radiadores, escapes y silenciadores"
Cat_019_45205,45205,"Reparación y reconstrucción de vías, stop y otros artículos de fibra de vidrio"
Cat_019_45206,45206,"Reparación de llantas de vehículos automotores"
Cat_019_45207,45207,"Polarizado de vehículos (mediante la adhesión de papel especial a los vidrios)"
Cat_019_45208,45208,"Lavado y pasteado de vehículos (carwash)"
Cat_019_45209,45209,"Reparaciones de vehículos n.c.p."
Cat_019_45211,45211,"Remolque de vehículos automotores"
Cat_019_45301,45301,"Venta de partes, piezas y accesorios nuevos para vehículos automotores"
Cat_019_45302,45302,"Venta de partes, piezas y accesorios usados para vehículos automotores"
Cat_019_45401,45401,"Venta de motocicletas"
Cat_019_45402,45402,"Venta de repuestos, piezas y accesorios de motocicletas"
Cat_019_45403,45403,"Mantenimiento y reparación de motocicletas"
Cat_019_46100,46100,"Venta al por mayor a cambio de retribución o por contrata"
Cat_019_46201,46201,"Venta al por mayor de materias primas agrícolas"
Cat_019_46202,46202,"Venta al por mayor de productos de la silvicultura"
Cat_019_46203,46203,"Venta al por mayor de productos pecuarios y de granja"
Cat_019_46211,46211,"Venta de productos para uso agropecuario"
Cat_019_46291,46291,"Venta al por mayor de granos básicos (cereales, leguminosas)"
Cat_019_46292,46292,"Venta al por mayor de semillas mejoradas para cultivo"
Cat_019_46293,46293,"Venta al por mayor de café oro y uva"
Cat_019_46294,46294,"Venta al por mayor de caña de azúcar"
Cat_019_46295,46295,"Venta al por mayor de flores, plantas y otros productos naturales"
Cat_019_46296,46296,"Venta al por mayor de productos agrícolas"
Cat_019_46297,46297,"Venta al por mayor de ganado bovino (vivo)"
Cat_019_46298,46298,"Venta al por mayor de animales porcinos, ovinos, caprino, canículas, apícolas, avícolas vivos"
Cat_019_46299,46299,"Venta de otras especies vivas del reino animal"
Cat_019_46301,46301,"Venta al por mayor de alimentos"
Cat_019_46302,46302,"Venta al por mayor de bebidas"
Cat_019_46303,46303,"Venta al por mayor de tabaco"
Cat_019_46371,46371,"Venta al por mayor de frutas, hortalizas (verduras), legumbres y tubérculos"
Cat_019_46372,46372,"Venta al por mayor de pollos, gallinas destazadas, pavos y otras aves"
Cat_019_46373,46373,"Venta al por mayor de carne bovina y porcina, productos de carne y embutidos"
Cat_019_46374,46374,"Venta al por mayor de huevos"
Cat_019_46375,46375,"Venta al por mayor de productos lácteos"
Cat_019_46376,46376,"Venta al por mayor de productos farináceos de panadería (pan dulce, cakes, repostería, etc.)"
Cat_019_46377,46377,"Venta al por mayor de pastas alimenticias, aceites y grasas comestibles vegetal y animal"
Cat_019_46378,46378,"Venta al por mayor de sal comestible"
Cat_019_46379,46379,"Venta al por mayor de azúcar"
Cat_019_46391,46391,"Venta al por mayor de abarrotes (vinos, licores, productos alimenticios envasados, etc.)"
Cat_019_46392,46392,"Venta al por mayor de aguas gaseosas"
Cat_019_46393,46393,"Venta al por mayor de agua purificada"
Cat_019_46394,46394,"Venta al por mayor de refrescos y otras bebidas, líquidas o en polvo"
Cat_019_46395,46395,"Venta al por mayor de cerveza y licores"
Cat_019_46396,46396,"Venta al por mayor de hielo"
Cat_019_46411,46411,"Venta al por mayor de hilados, tejidos y productos textiles de mercería"
Cat_019_46412,46412,"Venta al por mayor de artículos textiles excepto confecciones para el hogar"
Cat_019_46413,46413,"Venta al por mayor de confecciones textiles para el hogar"
Cat_019_46414,46414,"Venta al por mayor de prendas de vestir y accesorios de vestir"
Cat_019_46415,46415,"Venta al por mayor de ropa usada"
Cat_019_46416,46416,"Venta al por mayor de calzado"
Cat_019_46417,46417,"Venta al por mayor de artículos de marroquinería y talabartería"
Cat_019_46418,46418,"Venta al por mayor de artículos de peletería"
Cat_019_46419,46419,"Venta al por mayor de otros artículos textiles n.c.p."
Cat_019_46471,46471,"Venta al por mayor de instrumentos musicales"
Cat_019_46472,46472,"Venta al por mayor de colchones, almohadas, cojines, etc."
Cat_019_46473,46473,"Venta al por mayor de artículos de aluminio para el hogar y para otros usos"
Cat_019_46474,46474,"Venta al por mayor de depósitos y otros artículos plásticos para el hogar y otros usos, incluyendo los desechables de durapax y no desechables"
Cat_019_46475,46475,"Venta al por mayor de cámaras fotográficas, accesorios y materiales"
Cat_019_46482,46482,"Venta al por mayor de medicamentos, artículos y otros productos de uso veterinario"
Cat_019_46483,46483,"Venta al por mayor de productos y artículos de belleza y de uso personal"
Cat_019_46484,46484,"Venta de productos farmacéuticos y medicinales"
Cat_019_46491,46491,"Venta al por mayor de productos medicinales, cosméticos, perfumería y productos de limpieza"
Cat_019_46492,46492,"Venta al por mayor de relojes y artículos de joyería"
Cat_019_46493,46493,"Venta al por mayor de electrodomésticos y artículos del hogar excepto bazar; artículos de iluminación"
Cat_019_46494,46494,"Venta al por mayor de artículos de bazar y similares"
Cat_019_46495,46495,"Venta al por mayor de artículos de óptica"
Cat_019_46496,46496,"Venta al por mayor de revistas, periódicos, libros, artículos de librería y artículos de papel y cartón en general"
Cat_019_46497,46497,"Venta de artículos deportivos, juguetes y rodados"
Cat_019_46498,46498,"Venta al por mayor de productos usados para el hogar o el uso personal"
Cat_019_46499,46499,"Venta al por mayor de enseres domésticos y de uso personal n.c.p."
Cat_019_46500,46500,"Venta al por mayor de bicicletas, partes, accesorios y otros"
Cat_019_46510,46510,"Venta al por mayor de computadoras, equipo periférico y programas informáticos"
Cat_019_46520,46520,"Venta al por mayor de equipos de comunicación"
